iter,impl,latency_ns,throughput
877056,unbased,540275,13007.55
877056,based,743056,10265
885248,unbased,517788,13300.87
885248,based,739559,10245
893440,unbased,515182,13471.50
893440,based,730633,10365
901632,unbased,531861,13163.23
901632,based,743321,10234
909824,unbased,522953,13305.06
909824,based,755983,10056
918016,unbased,527691,13250.08
918016,based,755521,10067
926208,unbased,644592,10792.99
926208,based,804589,9580
934400,unbased,542320,12916.75
934400,based,777527,9854
942592,unbased,545986,12992.66
942592,based,763476,10051
950784,unbased,544066,12979.48
950784,based,741179,10254
958976,unbased,617278,11246.70
958976,based,847989,9178
967168,unbased,526544,13170.70
967168,based,737736,10309
975360,unbased,526657,13348.98
975360,based,736400,10313
983552,unbased,536791,13087.95
983552,based,771632,9920
991744,unbased,511374,13411.92
991744,based,736064,10308
999936,unbased,532109,13044.91
999936,based,761930,10000
1008128,unbased,538770,13134.52
1008128,based,761581,10015
